avtor,naslov,ocena_cista
Willa Cather,4,3.83
Willem Elsschot,1,3.59
William  Boyd,3,4.023333333333333
William Beckford,1,3.22
William Eastlake,1,3.6
William Faulkner,3,3.736666666666667
William Gaddis,1,4.21
William Gerhardie,1,3.41
William Gibson,1,3.89
William Golding,2,3.89
William Henry Hudson,1,3.68
William Makepeace Thackeray,2,3.7199999999999998
William Maxwell,2,3.7249999999999996
William Morris,1,3.29
William S. Burroughs,1,3.46
William Styron,1,4.17
William Trevor,1,3.69
Winifred Holtby,1,3.99
Wu Cheng'en,1,4.04
Yasunari Kawabata,1,3.79
Yaşar Kemal,1,4.5
Yevgeny Zamyatin,1,3.87
Zadie Smith,2,3.79
Zora Neale Hurston,1,3.99
timothy-mo,1,3.7
Émile Zola,4,4.0
